CAGDP9 Real GDP by county and metropolitan area 1/
CAGDP9 Real GDP by county and metropolitan area 1/
County
GeoFips,GeoName,LineCode,Description,2015,2016,2017,2018,2019,2020
29000,Missouri,1,All industry total,279020850,279109151,282174182,285995091,290842031,282654205
29000,Missouri,2,"  Private industries",246578946,246709650,249544283,253482262,258363128,250510559
29000,Missouri,3,"    Agriculture, forestry, fishing and hunting",4007952,4889106,4660792,4249563,4150962,5682575
29000,Missouri,6,"    Mining, quarrying, and oil and gas extraction",893951,938844,1060649,1115686,1163624,1111661
29000,Missouri,10,"    Utilities",4702539,4921534,4897027,4742877,4618976,4730175
29000,Missouri,11,"    Construction",9150956,9837761,10471820,10374665,10534723,10404416
29000,Missouri,12,"    Manufacturing",36076381,33642823,33877392,33396789,34875809,34384396
29000,Missouri,13,"      Durable goods manufacturing",19357943,17887343,17324388,17125622,17694744,17001882
29000,Missouri,25,"      Nondurable goods manufacturing",16731051,15764887,16548136,16267635,17172826,17363539
29000,Missouri,34,"    Wholesale trade",19392048,19719884,19562819,20010038,19486168,19399851
29000,Missouri,35,"    Retail trade",16957054,17520415,17802523,18231915,18339690,18146171
29000,Missouri,36,"    Transportation and warehousing",9078862,8998369,9337675,9331670,9289501,8070395
29000,Missouri,45,"    Information",12043154,12387565,12350375,12541236,13325407,12280533
29000,Missouri,50,"    Finance, insurance, real estate, rental, and leasing",52673414,52045935,51171354,51661877,52700935,53879183
29000,Missouri,51,"      Finance and insurance",19439299,19554850,19072396,19925009,20011043,21070958
29000,Missouri,56,"      Real estate and rental and leasing",33256331,32482611,32108267,31643945,32650049,32664003
29000,Missouri,59,"    Professional and business services",35856926,36401865,38249723,40497184,41354782,39863285
29000,Missouri,60,"      Professional, scientific, and technical services",18954976,19729131,20645971,21595695,22108159,21355748
29000,Missouri,64,"      Management of companies and enterprises",8895474,8735776,9290461,10226120,10372014,10057261
29000,Missouri,65,"      Administrative and support and waste management and remediation services",7999766,7926780,8309575,8706007,8898227,8488013
